HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD002674	provisional	Umbria (Regio VI)	Italy	Sestinum	Sestino	Chiesa arcipretale, bei Sakristei	195 AD	AE 1984, 0373.  F. Galli, La raccolta epigrafica sestinate (Urbino 1978) 32; tav. 18. - AE 1984.  A. Minto, Sestinum (Sestino). Regio VI. Umbria (Spoleto 1940) 34; fig. 4 (Zeichnung). (AC) - AE 1984.  A. Minto, NSA 1942, 59; fig. 6. (A) - AE 1984.	Imp(eratori) Caesari / L(ucio) Septimio Seve/ro Pertinaci Aug(usto) / Pio Parthico / Arabico et Par/thico Adiabe/nico pont(ifici) max(imo) / trib(unicia) pot(estate) III / imp(eratori) V co(n)s(uli) II / proco(n)s(uli) p(atri) p(atriae) d(ecreto) d(ecurionum)	3	https://godot.date/id/2rhBeUsYWoivTxG6TvoxXe
HD002725	checked with photo	Baetica	Spain	Obulcula	Castillo de la Monclova	Vereda del Galeote	159 AD	AE 1996, 0881.  AE 1993, 1003b. (B)  AE 1984, 0511. (B)  J. González, SDHI 62, 1996, 331-339, Nr. 1; Foto. (B) - AE 1996.  W. Eck, in: F. Heidermanns - H. Rix - E. Seebold (Hrsg.), Sprachen und Schriften des antiken Mittelmeerraums. Festschrift für Jürgen Untermann zum 65. Geburtstag (Innsbruck 1993) 63-74; Taf. 1. (B) - AE 1993.  J. González Fernández, SDHI 49, 1983, 400-401. (B) - AE 1984; AE 1993.  CIL 02 (2. Aufl.) 05, 01322.  HEp 05, 1995, 0707. (B)  HEp 04, 1994, 0685.  PIR (2. Aufl.) S 880.	[Imp(erator) Caesar divi Hadriani filius divi Traiani ne]pos divi Nervae pronepos T(itus) Aelius Hadrianus A[ntoninus] / [Aug(ustus) Pius pontifex maximus tribunicia potestate X]XII co(n)s(ul) IIII p(ater) p(atriae) salutem dicit IIIIvir(is) et d[ecurionibus Obulculensium?] / [--- a] Lucilio Africano proco(n)s(ule) c(larissimo) v(iro) adversus [---] / [--- exempl]um decreti mei subici iussi haec legato [---] / [--- bene] valete Quintillo et Prisco co(n)s(ulibus) [---] / [--- be]neficium cuius auctor non probat[us esset ---] / [--- Obulcu]lensium et longa huius exaction[is consuetudine? ---] / [--- vice?]simam exigi post quae adiecit [---] / [------?] / [Imp(erator) Caesar divi Hadriani filius divi Traiani nepos divi Nervae pr]onepos T(itus) Aelius Had[rianus Antoninus Aug(ustus) Pius] / [pontifex maximus tribunicia potestate --- co(n)s(ul) IIII p(ater) p(atriae) salutem dicit II]IIvir(is) et de[curionibus Obulculensium? ---] / [&	22	https://godot.date/id/MZabHR2LvQazPJskh8xs6a
HD002922	checked with photo	Achaia	Greece	Athenae	Athínai		132 AD	CIL 03, 00548. (B)  CIL 03, 07281.  PIR (2. Aufl.) M 464.  IG 02 (2. Aufl.) 03289.  AE 1984, 0821.  G. Molisani, ASAA 52/53, 1974/1975, 404-407; fig. 2. - AE 1984.  M. Šašel Kos, Inscriptiones Latinae in Graecia repertae. Additamenta ad CIL III (Faenza 1979) 59, Nr. 133.  M.C.J. Miller, Inscriptiones Atticae. Supplementum inscriptionum Atticarum 6 (Chicago 1992) 1-6, Nr. 1.	[I]mp(eratori) Caes(ari) divi Traiani Par/thici fil(io) divi Nervae nepo/ti Traiano Hadriano Aug(usto) / [p(ontifici)] m(aximo) tr(ibunicia) pot(estate) XVI co(n)s(uli) III p(atri) p(atriae) / Olympio / colonia Iulia Augusta / Diensium per legatum / G(aium) Memmium Lycum / Διεστῶν	16	https://godot.date/id/QuQXrwXwS9Wm22Q6kp5wCm
HD002925	no image	Achaia	Greece	Athenae	Athínai	Stoa Hadriani (CIL)	132 AD	CIL 03, 06102.  CIL 03, 07283.  AE 1984, 0822.  G. Molisani, ASAA 52/53, 1974/1975, 401-409; fig. 3. - AE 1984.  M. Šašel Kos, Inscriptiones Latinae in Graecia repertae. Additamenta ad CIL III (Faenza 1979) 59, Nr. 134.  M.C.J. Miller, Inscriptiones Atticae. Supplementum inscriptionum Atticarum 6 (Chicago 1992) 46-47, Nr. 19.	[Imp(eratori) Caesari divi Traiani] / [Parthici f(ilio) divi Nervae nep(oti)] / [Traiano Ha]d[riano Aug(usto) p(ontifici) m(aximo)] / [t]r(ibunicia) p(otestate) XVI co(n)s(uli) III p(atri) p(atriae) [Olympio] / [C]aesarea Antio[chia ob multa] / [be]neficia quae [viritim quae] / [publice praestitit coloniae] / [per legat&	16	https://godot.date/id/QuQXrwXwS9Wm22Q6kp5wCm
HD002954	provisional	Mauretania Caesariensis	Algeria	Albulae	Aïn-Témouchent		119 AD	AE 1913, 0157. (BC)  AE 1913, p. 37 s. n. 160.  AE 1985, 0984.  F.G. de Pachtère, BCTH 1913, 219. - AE 1913, 157. (BC)  B.E. Thomasson, Fasti Africani. Senatorische und ritterliche Amtsträger in den römischen Provinzen Nordafrikas von Augustus bis Diokletian (Stockholm 1996) 200, Nr. 9.	Imp(erator) Caesar divi Traiani Par/thici fil(ius) divi Nervae nepos / Traianus Hadrianus Au[g(ustus)] / pontifex max(imus) trib(unicia) pot(estate) III [co(n)s(ul)] / III praesidium Sufative per coh(ortem) / I Flavia(m) Musulamiorum factum / sub cura L(uci) Sei Aviti proc(uratoris) Aug(usti)	3	https://godot.date/id/8mTao3GAfNBvocScnoHmNj
HD002974	provisional	Baetica	Spain	Baelo	Bolonia	Capitol	161 AD	AE 1984, 0529. (B)  P. Jacob, MCV 20, 1984, 7-16; fig. 1 u. 2. - AE.  P. Jacob, Gerión 2, 1984, 325-332; fig. 1 u. 2. - AE.  AE 1987, 0500.  F. López Pardo, Gerión 4, 1986, 319-323.  AE 1993, 1702.	[Imp(erator) Caes(ar) divi Hadriani f(ilius) di]vi Traiani [Parthic(i) nepos divi Nervae pron(epos) T(itus) Ae]l(ius) Hadrianu[s Antoninus Aug(ustus) Pius pontif(ex)] max(imus) trib(unicia) [pot(estate) XXIV imp(erator) II co(n)s(ul)] IV [p(ater)] p(atriae) [equit(ibus) et ped(itibus) qui militaver]unt in [a]l(is) V q(uae) ap[pellantur I Aug(usta) Gallor(um) et Gemell(iana)] et Taurian(a) c(ivium) R(omanorum) [victr(ix) et III Astur(um) et I Hamior(um) Syror(um) sag(ittariorum) et coh(ortibus) ---] I It[uraeor(um) c(ivium) R(omanorum) et V Delmat(arum) c(ivium) R(omanorum) et II His]panor(um) et IV Ga[l]l[or(um) et I Astur(um) et Callaec(orum)(?) et II Syror(um) sag(ittariorum)(?) et III Astur(um) c(ivium) R(omanorum) et II Hispan]a c(ivium) R(omanorum) et I Lemavo[r(um) et III Gallor(um) felix tor]q(uata)(?) et IV T[ungror(um) vexillationis et sunt in Mauretania Ting]itan[a sub Q(uinto) Claudio Feroce Aeronio Montano quinis et vicenis pluribusve] // [stip]end(iis) em[er(itis) dimissis ho]/[nes]t(a) mission(e) q[uor(um) nomin(a) sub]/[s]cript(a) [su]nt civi[tatem Roman(am) qui e]/or(um) non haber(ent) d[ed(it) et conub(ium) cum u]/xorib(us) quas tunc [habu]iss[ent cum est] / civit(as) is dat(a) aut cum is q[uas post(ea) du]/xiss(ent) dumtax(at) singulis a(nte) [d(iem) ---] / M(arco) Annio Libone Q(uinto) Numis[io Iuniore co(n)s(ulibus)] / coh(ortis) I Ituraeorum cu[i pra(e)est] / Baebi[u]s H[---] / ex pedi[tibus ---] / Ze[non?]i G[---]ts [f(ilio) ---] / [descript(um) et recognit(um) ex tabula aen(ea) quae fix(a) est Romae in muro post tem(plum) divi Aug(usti) ad Minervam]	24	https://godot.date/id/TJNCiV2yt585RGFqn4ffCG
HD003257	checked with photo	Pannonia superior	Slovenia	Neviodunum, bei	Novo mesto	Dolenje Karteljevo, bei, {A2}	139 AD	AE 2006, 1031.  M. Lovenjak, in: U. Bavec u. a., Dolenje Karteljevo pri Novem mestu (Ljubljana 2011) 51-52; sl. 40-44a.	Imp(eratoris) Caes(aris) T(iti) Ael[i] / Hadriani / Antonini Aug(usti) / [Pi(i) p(ontificis) m(aximi)] / p(atris) p(atriae) co(n)s(ulis) II [des(ignati) III] / trib(unicia) pot(estate) III / Nevioduni(!) m(ilia) p(assuum) / XXI	3	https://godot.date/id/RerSbThPiSDRT9sZTMb7ZB
HD003753	provisional	Mauretania Tingitana	Morocco	Tingi	Tanger	Socco, hinter, altes Kino Olympia	51 AD	AE 1985, 0993.  M. Christol - S. Demougin, ZPE 59, 1985, 283-290. - AE.  IAM 2, 003.  AE 1942/43, 0043. (B)	[Ti(berius) Claud(ius) Caes(ar) Aug(ustus) Ge]rmanicus / [pontif(ex) max(imus) trib(unicia) pot(estate) X imp(erator) X]XI p(ater) p(atriae) cens(or) co(n)sul V / [---]T C(aius) Rutilius Secundus / [--- posui]t idemque dedicavit	10	https://godot.date/id/TFgQq4zianHuduHeTs59sB
HD004132	checked with photo	Roma	Italy	Roma	Roma	Via della Greca	10 AD	AE 1980, 0056.  S. Panciera, QuadStAEtrIt 4, 1980, 205-206, Nr. 10; tav. 47, 2. - AE 1980.	$] / [Imp(erator) Caesar Augustus] / [pontifex maximus] / [tribunic(ia) potest(ate) XXXII] / [ex] stipe quam [populus] / [K(alendis)] Ianuariis ei [contulit] / [P(ublio) D]olabella C(aio) [Silano co(n)s(ulibus)]	32	https://godot.date/id/brp7B7GiJENCzYEEwpJ4Ng
HD004621	provisional	Numidia	Algeria	Thamugadi	Timgad		100 AD	AE 1891, 0132.  CIL 08, 17843.  R. Cagnat, CRAI 19, 1891, 209-210. - AE 1891.	[Imp(erator)] Ca[esa]r d[ivi] / [Nerv]ae [f(ilius) Nerva] Traia/[nus A]ug(ustus) [Ger]ma[ni]cus pontif(ex) / m[ax(imus) trib(unicia) po]t(estate) IIII [c]o(n)s(ul) III p(ater) p(atriae) / [col(oniam) Marci]anam Traia/[nam Tha]mugadi per [[leg(ionem)]] / [[[III]]] Aug(ustam) fec(it) / [L(ucio) Munatio] Gal[l]o le[g(ato)] Aug(usti) pro pr(aetore)	4	https://godot.date/id/6x9aGYbhPBTet9wihy3pLL
HD004694	provisional	Latium et Campania (Regio I)	Italy	Formiae	Formia	Kirche S. Erasmo, sekundär verwendet	70 AD	AE 1978, 0092.  L. Gasperini, in: L. Gasperini (Hg.), Scritti storico-epigrafici in memoria di Marcello Zambelli (Roma 1978) 130-132, Nr. 4; tav. 12. (C) - AE.	[Imp(eratori) Caes(ari) Vespa]siano [Aug(usto)] / [pont(ifici) max(imo) trib(unicia) pot(estate) II imp(eratori) V] p(atri) p(atriae) co(n)s(uli) II de[sig(nato) III] / [--- S]aturnin[us ---] / [---] de sua pecu[nia f(aciendum) c(uravit)]	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
HD004855	provisional	Pannonia inferior	Croatia	Cibalae, bei	Negoslavci		65 AD	AE 1978, 0658.  S. Dušanić, Germania 56, 1978, 461-475; pl. 47-48. - AE 1978.  AE 1989, 0626.  A. Dorn, in: Archäologische Forschungen in Ostslawonien und Baranja. Tagung Vukovar 6.-9.X.1981 (Zagreb 1984) 165-174; Fotos; Zeichnung. - AE 1989.	Nero Claudius divi Claudi f(ilius) Germani[ci] / Caesaris n(epos) Ti(beri) Caesaris Aug(usti) pron(epos) divi / Aug(usti) abn(epos) Caesar Aug(ustus) Germanicus / pont(ifex) / max(imus) trib(unicia) pot(estate) XI imp(erator) VIIII p(ater) p(atriae) co(n)s(ul) IIII / peditibus et equitibus qui militant <in> / cohortibus tribus quae appellant/ur I et II Thracum et VII Breucorum / et sunt in Germania sub P(ublio) Sulpicio / Scribonio Proculo qui quina et vice/na stipendia aut plura meruerant / quorum nomina subscripta sunt ips/is liberis posterisque eorum civit/atem dedit et conubium cum uxori/bus quas tunc habuissent cum est civ/itas iis data aut siqui caelibes essent / cum iis quas postea duxissent dum/taxat singuli singulas / a(nte) d(iem) XV K(alendas) Iulias / A(ulo) Licinio Nerva Siliano / P(ublio) Pasidieno Firmo co(n)s(ulibus) / pediti coh(ortis) VII Breucorum cui / praeest C(aius) Numisius C(ai) f(ilius) Vel(ina) Max(imus) / Liccaio Liccai f(ilio) Breuco / descriptum et recognitum ex tabu/la aenia/quae fixa est Romae in / Capitolio ante aerarium milita/re in basi Claudiorum Marcellor/um // C(ai) Marci Nobilis Emoniensis / Sex(ti) Tei Nicerotis Aquileiensis / C(ai) Caecinae Hermaes(!) Aquileiensis / T(iti) Picati Carpi Aquileiensis / L(uci) Hostili Blaesi Emoniensis / M(arci) Treboni Hygini Aquileiensis / L(uci) Anni Potentis Aquileiensis	11	https://godot.date/id/ptkyoj4dbNWyisxh5xU98c
HD004993	no image	Roma	Italy	Roma	Roma		186 AD	AE 1980, 0038.  N. Goodhue, PP 34, 1979, 55-61; fig. 1. - AE 1980.  CIL 06, 00420.  IGUR 0166. (B)  CIL 06, 30764. (B)  PIR (2. Aufl.) A 69.	I(ovi) O(ptimo) M(aximo) / Heliopolitano // Κομμόδῳ / ἀνδρὶ βα[σι]λικ[ω]τ[άτῳ] / ἀσπιστῇ [τῆς] / οἰκουμ[ένης] // Imp(eratori) Caes(ari) M(arco) Aur(elio) Commodo / Antonino Pio [Felici Aug(usto)] / Sarm(atico) Germanic[o] / trib(unicia) pot(estate) X[I] imp(eratori) [VIII co(n)s(uli) V p(atri) p(atriae)] / M(arcus) Antonius M(arci) f(ilius) Gai[on]a[s](?) / Glauc(us) Quir(ina) Ec[---]us / cistiber(!) dedic(avit) u(rbe) c(ondita) [a(nno) DCCCC]XXXIX / Imp(eratore) Commodo A[n]tonio Pio / Felice Aug(usto) V M'(anio) Acil(io) Gla[brione] / II co(n)s(ulibus) / III K(alendas) Dec(embres)	11	https://godot.date/id/XQPGwAChhZJgJVbvWBhPZB
HD005318	checked with photo	Latium et Campania (Regio I)	Italy	Salernum	Salerno		80 AD	AE 1980, 0259. (B)  T.V. Buttrey, Documentary Evidence for the Chronology of the Flavian Titulature (Meisenheim a. Glan 1980) 46-47. (B) - AE 1980.  AE 1951, 0200. (B)  P.C. Sestieri, NSA 1949, 101-102; Foto. (B) - AE 1951.  AE 1966, 0072. (B)  AE 1991, 0430.  A. Degrassi, MAL 11, 1962-1965, 274-276, Nr. 5; tav. 11, 28. (B) - AE 1966.  M. Horster, Bauinschriften römischer Kaiser (Stuttgart 2001) 81. 291, Nr. Ib 9. (B)  InscrIt 01, 1, 0010.	[Imp(erator) Titus C]aesar [divi] / [Vespasiani fil(ius) Vesp]asianus [Aug(ustus)] / [pontif(ex) maxim(us) tribu]nic(ia) potest(ate) VI[III] / [imp(erator) XV co(n)s(ul) VII design(atus) VIII?] censor p(ater) p(atriae) / [--- terrae motu co]nlaps(um?) restitu[it]	9	https://godot.date/id/sLyAFvSedRpKEHCevN3y3E
HD005710	checked with photo	Moesia inferior	Romania	Tomi	Constanţa		120 AD	AE 1985, 0759. (B)  AE 1977, 0745. (B)  IScM 2, 048. (B)  CIL 03, 07539. (B)  CIL 03, 12493. (B)  IGR 1, 0606. (B)  SEG 27, 0400. (B)  SEG 31, 0687.  G.G. Točilescu, AEM 6, 1882, 12-13, Nr. 22; Zeichnung.  G.G. Točilescu, AEM 14, 1891, 29, Nr. 59.  A. Rădulescu - M. Munteanu, in: Epigraphica (Bucharest 1977) 106-110, Nr. 5. - AE 1977.  G. Molisani, in: Epigrafia e ordine senatorio 1 (Roma 1982) 495- 496. - AE 1985.  PIR V 603.	Imp(eratori) Cae[s(ari) divi Traiani Pa]rthici / filio divi N[ervae nepoti Traian]o Hadria/no Aug(usto) pontif(ici) [max(imo) trib(unicia)] pot(estate) IIII co(n)s(uli) [I]II res p(ublica) Tomita(norum) / C(aio) Ummidio Quadrato S[allustio Serto]rio leg(ato) Aug(usti) pr(o) pr(aetore) // Αὐτοκράτορι Καίσαρ[ι θεοῦ Τραϊανοῦ] Παρθικοῦ υἱῷ θεοῦ / Νέρουα υἱωνῷ Τραϊανῷ [Ἁδριανῷ Σεβαστῷ] ἀρχιερεῖ μεγίστῳ δη/μαρχικῆς ἐξουσίας [τὸ δ ὑπάτῳ τὸ γ] βουλὴ δῆμος Τομειτῶν / Γ(άϊος) Οὐμμίδιος Κοδρᾶτος [Σαλλούστιος Σε]ρτώριος πρεσβευτὴς τοῦ / Σεβαστοῦ [καὶ ἀντιστράτ]ηγος καθιέρωσεν.	4	https://godot.date/id/24HhkGAL6CTEpQvWtECAk8
HD005774	checked with photo	Moesia inferior	Romania	Sacidava	Aliman	Dunăreni, Muzait, Berg, {Festung, Turm E}, sekundär verwendet?	103 AD	AE 1981, 0745.  A. Rădulescu - M. Bărbulescu, Dacia 25, 1981, 353-356; fig. 1 (Foto u. Zeichnung). - AE 1981.  PIR (2. Aufl.) F 54.	[Imp(erator) Caes(ar) divi] / [Nervae f(ilius) Nerva] / [Traianus Aug(ustus) Ger(manicus)] / [Dac(icus) pont(ifex) max(imus)] / [trib(unicia)] potest(ate) [VIII] / [i]mp(erator) <I>V co(n)s(ul) [V p(ater) p(atriae)] / coh(ors) IIII Gall(orum) / Q(uinto) Fabio Postumino / leg(ato) Aug(usti) pr(o) pr(aetore) / [&	8	https://godot.date/id/W7VFc5V96i5LQcgpe5vTeJ
HD005920	checked with photo	Moesia superior	Serbia	Taliata	Donji Milanovac	Veliki Gradac, castellum	75 AD	AE 1980, 0788. (B)  AE 1968, 0007. (B)  ILJug 0477. (B)  D. Vučković-Todorović, Starinar 18, 1967, 21-28; Taf. 1-6. (B) - AE 1980.  S. Dušanić, Epigraphica 30, 1968, 64-67; fig. 1 u. 2. - AE 1968.	Imp(erator) Caesar Vespasianus Augustus pontifex ma/ximus tribunic(ia) potest(ate) VI imp(erator) XIIII p(ater) p(atriae) censor / co(n)s(ul) VI designatus VII / peditibus et equitibus qui militant in cohorti/bus decem quae appellantur I Antiochensi/um et I Sugambrorum veterana et I Raetorum / et I Lusitanorum et III et IV et V et VII et VIII Gallo/rum et Cisipadensium et sunt in Moesia sub / Sex(to) Vettuleno Ceriale qui quina et vicena sti/pendia aut plura meruerant quorum nomina / subscripta sunt ipsis liberis posterisque eorum / civitatem dedit et conubium cum uxoribus quas / tunc habuissent cum est civitas iis data aut / si qui caelibes essent cum iis quas postea / duxissent dumtaxat singuli singulas / a(nte) d(iem) IIII K(alendas) Maias Caesare Aug(usti) f(ilio) Domiti/ano III L(ucio) Pasidieno Firmo co(n)s(ulibus) / coh(ortis) I Raetorum / cui prae(e)st / C(aius) Quintius Laberius Tutor Sabinianus / pediti / Herae Serapionis f(ilio) Antioc(hia) / descriptum et recognitum ex tabula aenea qua(e) / fixa est Romae in Capitolio pos(t) piscinam / in tribunal(i) deorum // Imp(erator) Caesar Vespasianus Augustus pontifex maxi/mus tribunic(ia) potest(ate) VI imp(erator) XIIII p(ater) p(atriae) censor / co(n)s(ul) VI designatus VII / peditibus et equitibus qui militant in cohorti/bus decem quae appellantur I Antiochensi/um et I Sugambrorum veterana et I Raeto/rum et I Lusitanorum et III et IV et V et VII et VIII / Gallorum et Cisipadensium et sunt in Moesia / sub Sex(to) Vettuleno Ceriale qui quina et vicena / stipendia aut plura meruerant quorum nomi/na subscripta sunt ipsis liberis posterisque eo/rum civitatem dedit et conubium cum uxori/bus quas tunc habuissent cum est civitas iis / data aut si qui cael(i)bes essent cum iis quas / postea duxissent dumtaxat singuli // singulas a(nte) d(iem) IIII K(alendas) Maias Caesare Aug(usti) f(ilio) / Domitiano III L(ucio) Pasidieno Firmo co(n)s(ulibus) / coh(ortis) I Raetoriae(!) / cui prae(e)st / C(aius) Quintius Laberius Tutor Sabinianus / pediti / Herae Serapionis f(ilio) Antioc(hia) / descriptum et recognitum ex tabula aenea quae / fixa est Romae in Capitolio // L(uci) Domiti L(uci) f(ili) Col(lina) Veri / P(ubli) Coeli Q(uinti) f(ili) Fal(erna) Bruti Rufi / Q(uinti) Iuli Lentuli / Q(uinti) Aquili C(ai) f(ili) Vol(tinia) Campan(i) / T(iti) Lossi T(iti) f(ili) Gal(eria) Severi / Sex(ti) Lossi T(iti) f(ili) Gal(eria) Apollinaris / P(ubli) Atini P(ubli) f(ili) Vel(ina) Augustalis	6	https://godot.date/id/tKF6gqMHJv9YTtMnfxNnLB
HD006220	checked with photo	Latium et Campania (Regio I)	Italy	Nomentum	Mentana		136 AD	AE 1976, 0114. (B)  C. Pala, Nomentum, Forma Italiae, Regio I 12 (Roma 1976) 48, Nr. 7; fig. 103. (B) - AE 1976.  M. Horster, Bauinschriften römischer Kaiser (Stuttgart 2001) 268-269, Nr. Ia 10. (B)  G. Alföldy, Epigraphica 64, 2002, 120-121, Nr. 9. - AE 2002.  AE 2000, 0286a.  AE 2002, 0302.  M.G. Cecere, in: G. Paci (Hrsg.), Έπιγραφαί. Miscellanea epigrafica in onore di Lidio Gasperi (Roma 2000) 435-443; fig. 1-3. AE 2000.	Imp(eratori) Caesari T[raiano] / Hadriano Aug(usto) [pont(ifici) max(imo)] / trib(unicia) pot(estate) XX im[p(eratori) II co(n)s(uli) III p(atri) p(atriae)] / res publica Nomen[tanorum dict(atori)] / suo et aedium sa[cr(arum) fautori?] // Bonae Deae	20	https://godot.date/id/n3xSPRo4Exr3xJQaXcmdEG
HD006644	no image	Etruria (Regio VII)	Italy	Lucus Feroniae	Lucus Feroniae	Forum	106 AD	AE 1985, 0377.  A.M. Sgubini Moretti, RPAA 55-56, 1982-1984, 75, Anm. 7. - AE 1985.	[Imp(eratori)] Caesari / divi Nervae f(ilio) / Nervae Traiano / Aug(usto) Germ(anico) / Dacico / pontifici maximo / trib(unicia) pot(estate) X imp(eratori) V / co(n)s(uli) V p(atri) p(atriae) / restitutori c(oloniae) I(uliae) F(elicis) L(ucus) F(eroniae) / publice / ex d(ecreto) d(ecurionum)	10	https://godot.date/id/8UQeNEmA8w5QStdE3STNKS
HD006696	checked with photo	Moesia superior	Serbia	Margum	Požarevac	Dubravica	161 AD	AE 1981, 0736.  K. Dietz, Chiron 11, 1981, 277-301; Taf. 15; Abb. 1-3 (Zeichnungen.) - AE 1981.  AE 1979, 0516. (B)  M. Mirković, ZPE 36, 1979, 228-230, Nr. 1; Taf. 17a u. 17b. (B) - AE 1979.	[Imp(erator) Caesar M(arcus) Aurelius A]ntoninus / [Aug(ustus) pont(ifex) maxim(us) trib(unicia)] pot(estate) XV co(n)s(ul) III et / [Imp(erator) Caesar L(ucius) Aurelius Ve]rus Aug(ustus) trib(unicia) pot(estate) / [I co(n)s(ul) II divi Antonini fili]i divi Hadria/[ni nepotes divi Trai]ani Parth(i)ci / [pronepotes divi Ner]vae abnepot(es) / [eq(uitibus) et ped(itibus) qui militaveru]nt in ala Gal/[lor(um) --- et coh(ortibus) --- q]uae appell(antur) / [& // $ et sunt in Moes(ia) infer(iore) sub] / Avid[io Cassio leg(ato) XXV item class(icis)] / XXVI pl(uribus)[ve st(ipendiis) em(eritis) dim(issis) hon(esta) mis(sione) quor(um) nom(ina)] / su(b)scr(ipta) s[unt civitat(em) Rom(anam) qui eor(um) non] / haber(ent) d[ed(erunt) et con(ubium) cum uxor(ibus) quas tunc] / ha(buissent) cum [est civ(itas) is dat(a) aut cu(m) is qu(as) post(ea)] / dux(issent) dum[tax(at) singulis ---]	15	https://godot.date/id/HMFKzJZUJvpBd8iQN57cFj
HD006821	checked with photo	Moesia inferior	Romania	Dinogetia	I. C. Brăteanu, bei		162 AD	AE 1980, 0834. (B)  IScM 5, 258; Foto.	[Imp(eratori) Caes(ari)] / [M(arco) Aurelio An]/[tonino Aug(usto)] / [trib(unicia) pot(estate) XVI] co(n)s(uli) III et / [Im]p(eratori) Caes(ari) L(ucio) Au/[r]elio Vero / [Au]g(usto) trib(unicia) pot(estate) II / [co(n)s(uli)] II [di]vi Pii / [fil(iis) div(i)] Ha[dr(iani) nep(otibus) div(i) Trai(ani)] / [pronep(otibus) div(i) N]er[v(ae) abnep(otibus)] / [&	16	https://godot.date/id/eySAhWoazEgvLEZLeExPo3
HD007455	checked with photo	Baetica	Spain	Mirobriga Turdulorum, bei	Valdecaballeros		73 AD	AE 1986, 0323.  CIL 02 (2. Aufl.) 07, 00870; tab. 22, 1.  D. Vaquerizo Gil, RevEstExtremeños 42, 1986, 130-133, Nr. 14. - AE 1986.	Imp(erator) Caesar Aug(ustus) / Vespasianus po/ntif(ex) [max(imus)] trib(unicia) p/ot(estate) [IIII i]mp(erator) X p(ater) / p(atriae) co(n)s(ul) IIII design(atus) / V ter(minavit?) inter Laci/nimurg(enses) et Ucu/bitanos c(olonos) c(oloniae) Clarita/tis Iuliae	4	https://godot.date/id/quvqh8ng4eHvn68F944wci
HD007887	checked with photo	Raetia	Germany	Castra Regina	Regensburg	Dachauplatz	179 AD	AE 1986, 0533. (B)  AE 1971, 0292. (B)  CIL 03, 11965.  AE 1987, 0791. (B)  T. Bechert, BJ 171, 1971, 242-246; fig. 15 (Zeichnung). (B) - AE 1971.  J.E. Bogaers, in: Studien zu den Militärgrenzen Roms 3, 13. Internationaler Limeskongreß, Aalen 1983. Vorträge (Stuttgart 1986) 127-129; Abb. 1-3. (B) - AE 1986. AE 1987.  K. Dietz - T. Fischer, Die Römer in Regensburg (Regensburg 1996) 84-87; Abb. 28; Farbabb. 1.	[Imp(erator) Caesar divi Antonini Pii filius divi Veri Parthici Maximi] frater divi Hadriani nepos divi Traiani Pa[rthici pronepos divi] / [Nervae abnepos M(arcus) Aurelius Antoninus Aug(ustus) Germanicus Sarma]ticus pontifex maximus trib(uniciae) potestatis XXXVI i[mp(erator) VIIII co(n)s(ul) III p(ater) p(atriae) et] / [Imp(erator) Caesar M(arcus) Aurelius Commodus Antoninus Aug(ustus) Sarmat]icus Germanicus Maximus Antonini Imp(eratoris) [filius divi Pii nepos divi] / [Hadriani pronep(os) divi Traiani Parthici abn(epos) divi Nervae adn(epos) trib(unicia) pot(estate) IIII i]mp(erator) II co(n)s(ul) II vallum cum portis et turribus <l=E>eg(ioni)#<l>eg(ioni)#EEG I[II Italicae Concordi] / [fecerunt curante] M(arco) Helvio C[le]mente Dextriano leg(ato) Au[gg(ustorum) leg(ionis) eiusdem]	4	https://godot.date/id/Lh4sS37YkDi3Uptt4ZXmmK
